title,company,location,category,salary_min,salary_max,contract_type,description,created,redirect_url,full_text,skills_found,skill_count
Team Lead - VRM| Chennai,CSB Bank,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,Description Team Leaders has to ensure seamless servicing of customers. Agents are made aware of the Scorecard targets & Portfolio Benchmark. Ensure that there is cross sell to the customer on asset products as offered by the Bank. Income to be generated at a customer level. Responsibilities Team Management - Should have excellent Leadership skills Coaching and Mentoring - Team Leader should be and excellent mentor to their team members Goal setting and achievement - Should be in charge of sett…,2024-07-31T03:18:19Z,https://www.adzuna.in/details/4801603174?utm_medium=api&utm_source=48e85034,team lead - vrm| chennai description team leaders has to ensure seamless servicing of customers. agents are made aware of the scorecard targets & portfolio benchmark. ensure that there is cross sell to the customer on asset products as offered by the bank. income to be generated at a customer level. responsibilities team management - should have excellent leadership skills coaching and mentoring - team leader should be and excellent mentor to their team members goal setting and achievement - should be in charge of sett…,['Leadership'],1
Salesforce Developer,Huron Consulting Services,"Chennai, Tamil Nadu",IT Jobs,,,,"Huron is a global consultancy that collaborates with clients to drive strategic growth, ignite innovation and navigate constant change. Through a combination of strategy, expertise and creativity, we help clients accelerate operational, digital and cultural transformation, enabling the change they need to own their future. Join our team as the expert you are now and create your future. Salesforce developer with 2 to 4 years of experience in design and development of applications, hands on with …",2026-07-01T02:36:47Z,https://www.adzuna.in/details/5782511731?utm_medium=api&utm_source=48e85034,"salesforce developer huron is a global consultancy that collaborates with clients to drive strategic growth, ignite innovation and navigate constant change. through a combination of strategy, expertise and creativity, we help clients accelerate operational, digital and cultural transformation, enabling the change they need to own their future. join our team as the expert you are now and create your future. salesforce developer with 2 to 4 years of experience in design and development of applications, hands on with …",['Salesforce'],1
Finacle Customization,Praveza Consultancy Private Limited,"Chennai, Tamil Nadu",IT Jobs,1500000.0,1500000.0,,Position : Finacle Customization Years of Experience : 2-5 Years Location : Customization – Chennai/Mumbai/Hyderabad Mode : WFO Budget – Upto 15 Lakhs Role Finacle Customisation Job Profile * Experience in Finacle customisation in Finacle 10.x * Should be capable of analysing customization Requirement * Should be well versed in Finacle customisation using Finacle tools * Good knowledge in Finacle tables of all Modules * Should have knowledge in connect 24 and FI * Should have worked in most of …,2023-03-22T08:35:00Z,https://www.adzuna.in/details/3992729764?utm_medium=api&utm_source=48e85034,finacle customization position : finacle customization years of experience : 2-5 years location : customization – chennai/mumbai/hyderabad mode : wfo budget – upto 15 lakhs role finacle customisation job profile * experience in finacle customisation in finacle 10.x * should be capable of analysing customization requirement * should be well versed in finacle customisation using finacle tools * good knowledge in finacle tables of all modules * should have knowledge in connect 24 and fi * should have worked in most of …,[],0
Android Developer,Remitbee,"Chennai, Tamil Nadu",IT Jobs,1000000.0,2000000.0,,"JOB DESCRIPTION: ANDROID DEVELOPER We are seeking an Android Developer to help guide Remitbee into the future. In this role, you will be given an opportunity to help build and improve Remitbee android applications and business solutions alongside a small, but mighty team. We have interesting products and services planned for the future and want to add an Android developer to our talented team to lead the product development initiatives. If you are passionate about building Android apps for glob…",2023-05-09T15:53:07Z,https://www.adzuna.in/details/4089643444?utm_medium=api&utm_source=48e85034,"android developer job description: android developer we are seeking an android developer to help guide remitbee into the future. in this role, you will be given an opportunity to help build and improve remitbee android applications and business solutions alongside a small, but mighty team. we have interesting products and services planned for the future and want to add an android developer to our talented team to lead the product development initiatives. if you are passionate about building android apps for glob…",[],0
Senior Java Software Engineer,Ciklum,"Chennai, Tamil Nadu",IT Jobs,,,,"About the role: As a Senior Java Software Engineer, become a part of a cross-functional development team engineering experiences of tomorrow. You will join a highly motivated team and will be working on a modern solution for our existing client. We are looking for technology experts who want to make an impact on new businesses by applying best practices and taking ownership. Ciklum is building a collaborative sportswear design platform for TOP-5 company in the sportswear market. Scalable soluti…",2026-08-29T07:41:08Z,https://www.adzuna.in/details/5860540231?utm_medium=api&utm_source=48e85034,"senior java software engineer about the role: as a senior java software engineer, become a part of a cross-functional development team engineering experiences of tomorrow. you will join a highly motivated team and will be working on a modern solution for our existing client. we are looking for technology experts who want to make an impact on new businesses by applying best practices and taking ownership. ciklum is building a collaborative sportswear design platform for top-5 company in the sportswear market. scalable soluti…",['Java'],1
Senior Engineer- Electrical,Petrofac,"Chennai, Tamil Nadu",Engineering Jobs,,,,"Petrofac is a leading international service provider to the energy industry, with a diverse client portfolio including many of the world’s leading energy companies. We design, build, manage, and maintain infrastructure for our clients. We recruit, reward, and develop our people based on merit, regardless of race, nationality, religion, gender, age, sexual orientation, marital status, or disability. We value our people and treat everyone who works for or with Petrofac fairly and without discrimi…",2026-09-04T21:16:47Z,https://www.adzuna.in/details/5870761524?utm_medium=api&utm_source=48e85034,"senior engineer- electrical petrofac is a leading international service provider to the energy industry, with a diverse client portfolio including many of the world’s leading energy companies. we design, build, manage, and maintain infrastructure for our clients. we recruit, reward, and develop our people based on merit, regardless of race, nationality, religion, gender, age, sexual orientation, marital status, or disability. we value our people and treat everyone who works for or with petrofac fairly and without discrimi…",['Recruiting'],1
CMS-Staff-SailPoint IIQ-IDN,EY,"Chennai, Tamil Nadu",IT Jobs,,,permanent,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. Role: Technology Lead - IdentityNow Job Summary The IdentityNow Security Senior Analyst role will be primarily responsible for leading support …",2026-09-11T06:40:57Z,https://www.adzuna.in/details/5879090878?utm_medium=api&utm_source=48e85034,"cms-staff-sailpoint iiq-idn at ey, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. and we’re counting on your unique voice and perspective to help ey become even better, too. join us and build an exceptional experience for yourself, and a better working world for all. role: technology lead - identitynow job summary the identitynow security senior analyst role will be primarily responsible for leading support …",[],0
Manager - Automation,Hapag-Lloyd,"Chennai, Tamil Nadu",IT Jobs,,,,"Description ROLE: Manager – Automation Specialist Looking for Automation Lead to drive enterprise-wide automation strategy and scale intelligent automation initiatives across the organization. This role will lead the automation roadmap, establish governance frameworks, and deliver automation solutions that significantly improve operational efficiency and productivity. The ideal candidate needs to have extensive experience in RPA, process automation, automation governance, and digital transforma…",2026-03-14T01:37:40Z,https://www.adzuna.in/details/5664003921?utm_medium=api&utm_source=48e85034,"manager - automation description role: manager – automation specialist looking for automation lead to drive enterprise-wide automation strategy and scale intelligent automation initiatives across the organization. this role will lead the automation roadmap, establish governance frameworks, and deliver automation solutions that significantly improve operational efficiency and productivity. the ideal candidate needs to have extensive experience in rpa, process automation, automation governance, and digital transforma…",[],0
OpenText Exstream Developer- Staff,EY,"Coimbatore, Tamil Nadu",IT Jobs,,,,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. CCM Profile Job description: OpenText Exstream Developer Senior Consultant - (4 to 6 Years) We are hiring an experienced OpenText Exstream Deve…",2026-09-10T16:12:48Z,https://www.adzuna.in/details/5878284766?utm_medium=api&utm_source=48e85034,"opentext exstream developer- staff at ey, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. and we’re counting on your unique voice and perspective to help ey become even better, too. join us and build an exceptional experience for yourself, and a better working world for all. ccm profile job description: opentext exstream developer senior consultant - (4 to 6 years) we are hiring an experienced opentext exstream deve…",[],0
ESG - Executive / ESG - Senior Executive,Photon Group,"Chennai, Tamil Nadu",Consultancy Jobs,,,,"Description Greetings Everyone Who are we? For the past 20 years, we have powered many Digital Experiences for the Fortune 500. Since 1999, we have grown from a few people to more than 4000 team members across the globe that are engaged in various Digital Modernization. For a brief 1 minute video about us, you can check https://youtu.be/uJWBWQZEA6o . What will you do? Collect, standardize, and validate data metrics and documents from different departments. Strong understanding of ESG ideas, res…",2024-07-31T03:11:24Z,https://www.adzuna.in/details/4801506173?utm_medium=api&utm_source=48e85034,"esg - executive / esg - senior executive description greetings everyone who are we? for the past 20 years, we have powered many digital experiences for the fortune 500. since 1999, we have grown from a few people to more than 4000 team members across the globe that are engaged in various digital modernization. for a brief 1 minute video about us, you can check https://youtu.be/ujwbwqzea6o . what will you do? collect, standardize, and validate data metrics and documents from different departments. strong understanding of esg ideas, res…",[],0
Operations Manager,Quess Enterprise,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"Description Dear Colleague, I am looking for an dynamic person to lead my team and to guide them towards success. You should be able to interact with clients and ensure 100% retention through: regular face to face meetings On-time issue resolution constant training to associates/team members Your KRA would be: 100% Client retention 100% on-time Collection 100% compliance score (Internal & External Audits) What is expected out of you: Proactive in approach Clear communication Excellent with Numb…",2024-07-31T03:12:43Z,https://www.adzuna.in/details/4801522696?utm_medium=api&utm_source=48e85034,"operations manager description dear colleague, i am looking for an dynamic person to lead my team and to guide them towards success. you should be able to interact with clients and ensure 100% retention through: regular face to face meetings on-time issue resolution constant training to associates/team members your kra would be: 100% client retention 100% on-time collection 100% compliance score (internal & external audits) what is expected out of you: proactive in approach clear communication excellent with numb…",[],0
Senior Cost Estimator - CSA,Bechtel,"Chennai, Tamil Nadu","Energy, Oil & Gas Jobs",,,,"Requisition ID: 294333 Relocation Authorized: None Telework Type: Full-Time Office/Project Work Location: Chennai, Gurugram Extraordinary teams building inspiring projects: Since 1898, we have helped customers complete more than 25,000 projects in 160 countries on all seven continents that have created jobs, grown economies, improved the resiliency of the world's infrastructure, increased access to energy, resources, and vital services, and made the world a safer, cleaner place. Differentiated …",2026-07-20T20:53:07Z,https://www.adzuna.in/details/5808180990?utm_medium=api&utm_source=48e85034,"senior cost estimator - csa requisition id: 294333 relocation authorized: none telework type: full-time office/project work location: chennai, gurugram extraordinary teams building inspiring projects: since 1898, we have helped customers complete more than 25,000 projects in 160 countries on all seven continents that have created jobs, grown economies, improved the resiliency of the world's infrastructure, increased access to energy, resources, and vital services, and made the world a safer, cleaner place. differentiated …",[],0
Sales Manager,Syncarp,"Tamil Nadu, India",Teaching Jobs,,,,"We are hiring sales managers across Tamilnadu, Andhra, Karnataka , Telegana, Bihar, Chhatisgarh, Delhi, Jharkhand, North east, Odisha, West bengal with 6-15 Sales experience in Edtech company. Sr manager/ Manager/ Deputy manager/Asst manager ( 50 positions) Drive institutional partnerships and business growth within the assigned city and surrounding region. The ideal candidate should have strong experience in B2B sales within the EdTech, Educational Programs, Higher Education, Learning Solution…",2026-09-08T14:41:58Z,https://www.adzuna.in/land/ad/5875420002?se=wPcg7xOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=4E1E147BCBFAB63ACB2E88EA8C142A35157BD1DF,"sales manager we are hiring sales managers across tamilnadu, andhra, karnataka , telegana, bihar, chhatisgarh, delhi, jharkhand, north east, odisha, west bengal with 6-15 sales experience in edtech company. sr manager/ manager/ deputy manager/asst manager ( 50 positions) drive institutional partnerships and business growth within the assigned city and surrounding region. the ideal candidate should have strong experience in b2b sales within the edtech, educational programs, higher education, learning solution…","['Sales', 'B2B Marketing']",2
Intermediate Application Developer - Mobile Developer,UPS,"Chennai, Tamil Nadu",IT Jobs,,,,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…",2026-04-29T09:49:49Z,https://www.adzuna.in/details/5713353458?utm_medium=api&utm_source=48e85034,"intermediate application developer - mobile developer before you apply to a job, select your language preference from the options available at the top right of this page. explore your next opportunity at a fortune global 500 organization. envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. we know what it takes to lead ups into tomorrow-people with a unique combination of skill  passion. if you have the qualities and drive to lead yourself or teams, there are role…",[],0
DT Enterprise Architecture Analyst,GE Vernova,"Chennai, Tamil Nadu",IT Jobs,,,,"Job Description Summary We are seeking an Enterprise Architect Analyst to join our team. Reporting to the Lead Enterprise Architect, you will support the development of our technology strategy by ensuring it aligns with our broader business objectives. This is an excellent opportunity to gain experience in architectural design, where you will assist in defining a roadmap that promotes reuse, sustainability, standardization, and scalability across our Electrification Systems."" Job Description In…",2026-08-26T11:18:38Z,https://www.adzuna.in/details/5856443725?utm_medium=api&utm_source=48e85034,"dt enterprise architecture analyst job description summary we are seeking an enterprise architect analyst to join our team. reporting to the lead enterprise architect, you will support the development of our technology strategy by ensuring it aligns with our broader business objectives. this is an excellent opportunity to gain experience in architectural design, where you will assist in defining a roadmap that promotes reuse, sustainability, standardization, and scalability across our electrification systems."" job description in…",[],0
Sales Compensation — Project Delivery SME,Prodapt,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"Overview To act as the senior domain authority for Sales Compensation across the engagement — owning the mechanics of incentive-plan execution, the monthly compensation cycle, crediting and adjustments, and compensation governance — ensuring sellers are paid accurately and on time and that the operation is controlled, auditable and continuously improving. Responsibilities Plan execution — interpret and execute incentive-compensation plans across segments and components; own correct configuratio…",2026-08-30T16:06:43Z,https://www.adzuna.in/details/5862100583?utm_medium=api&utm_source=48e85034,"sales compensation — project delivery sme overview to act as the senior domain authority for sales compensation across the engagement — owning the mechanics of incentive-plan execution, the monthly compensation cycle, crediting and adjustments, and compensation governance — ensuring sellers are paid accurately and on time and that the operation is controlled, auditable and continuously improving. responsibilities plan execution — interpret and execute incentive-compensation plans across segments and components; own correct configuratio…",['Sales'],1
Customer Service Representative,Wenger & Watson,"Chennai, Tamil Nadu",Customer Services Jobs,,,,"Key Responsibilities:  Explain DDC’s products and services in a professional manner via email, text message, or chat.  Engage with customers while communicating warmth, empathy, and patience throughout interaction.  Ensure that appropriate actions are taken to resolve customer problems and concerns.  Escalate customer needs that require additional knowledge or ability to leadership.  Timely communication with US teams via email, chat, and/or ticketing systems.  Follow DDC procedures and g…",2026-08-13T16:19:05Z,https://www.adzuna.in/land/ad/5840224731?se=wPcg7xOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=C4B8720D2F1D0EFDCE9660035EA739B9686CE5AE,"customer service representative key responsibilities:  explain ddc’s products and services in a professional manner via email, text message, or chat.  engage with customers while communicating warmth, empathy, and patience throughout interaction.  ensure that appropriate actions are taken to resolve customer problems and concerns.  escalate customer needs that require additional knowledge or ability to leadership.  timely communication with us teams via email, chat, and/or ticketing systems.  follow ddc procedures and g…","['Customer Service', 'Leadership']",2
Engineer- Wet Utilities (Infrastructure),Egis Road Operation India,"Chennai, Tamil Nadu",Engineering Jobs,,,,"About Us Egis is a leading global architectural, consulting, construction engineering, operations and mobility services firm. We create and operate intelligent infrastructure and buildings that both respond to the climate emergency and contribute to balanced, sustainable and resilient development. Our 22,000 employees operate across over 100 countries, deploying their expertise to develop and deliver cutting-edge innovations and solutions for clients. Through the wide range of our activities, w…",2026-08-26T16:05:16Z,https://www.adzuna.in/details/5856679043?utm_medium=api&utm_source=48e85034,"engineer- wet utilities (infrastructure) about us egis is a leading global architectural, consulting, construction engineering, operations and mobility services firm. we create and operate intelligent infrastructure and buildings that both respond to the climate emergency and contribute to balanced, sustainable and resilient development. our 22,000 employees operate across over 100 countries, deploying their expertise to develop and deliver cutting-edge innovations and solutions for clients. through the wide range of our activities, w…",[],0
Application Security Analyst,Tonik,"Chennai, Tamil Nadu",IT Jobs,,,,"Job Title: Application Security Analyst Location: DLF Cybercity, Porur, Chennai- India Experience: 4 - 8 Years About the Job: We are looking for an Application Security Analyst who will ensure that mobile and web applications are developed, deployed, and maintained based on security standards and best practices to protect the organization from potential threats and vulnerabilities. This role will work closely with development, network security, and technology teams to embed security throughout …",2026-09-01T16:22:22Z,https://www.adzuna.in/land/ad/5864435635?se=wPcg7xOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=591F247A9BFD838187FFC64721AB197393CB6D85,"application security analyst job title: application security analyst location: dlf cybercity, porur, chennai- india experience: 4 - 8 years about the job: we are looking for an application security analyst who will ensure that mobile and web applications are developed, deployed, and maintained based on security standards and best practices to protect the organization from potential threats and vulnerabilities. this role will work closely with development, network security, and technology teams to embed security throughout …",[],0
Fullstack Developer,Red Ant Media LLP,"Chennai, Tamil Nadu",IT Jobs,0.0,250000.0,,"- 2 to 3 yrs of experience working as a full stack Java developer - Experience in web development with AngularJS - Experience working with RDBMS such as Oracle, SQL Server, PostgreSQL. - Experience in SOAP/RESTful web services. javaScript, CSS, HTML, JSON, JQuery, AngularJS Skills:- Javascript, AngularJS (1.x) and Java",2021-03-19T04:40:49Z,https://www.adzuna.in/details/2061202657?utm_medium=api&utm_source=48e85034,"fullstack developer - 2 to 3 yrs of experience working as a full stack java developer - experience in web development with angularjs - experience working with rdbms such as oracle, sql server, postgresql. - experience in soap/restful web services. javascript, css, html, json, jquery, angularjs skills:- javascript, angularjs (1.x) and java","['SQL', 'Java', 'JavaScript', 'Web Development']",4
Program Management Sr Analyst,Citigroup,"Chennai, Tamil Nadu",IT Jobs,,,,"The Program Management Sr Analyst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and workflow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates mo…",2026-02-27T08:12:25Z,https://www.adzuna.in/details/5646868829?utm_medium=api&utm_source=48e85034,"program management sr analyst the program management sr analyst is a seasoned professional role. applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and workflow for the area or function. integrates subject matter and industry expertise within a defined area. requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. evaluates mo…",[],0
Consult an Expert,Vakilsearch,"Chennai, Tamil Nadu",IT Jobs,,,,"Key Responsibilities: Offer accurate, timely, and professional advice or consultations in your area of expertise. Respond to queries via chat, email, video call, or phone as per platform requirements. Assist users in understanding complex issues or solving specific problems. Maintain up-to-date knowledge in your field to ensure credible and current consultation. Document interactions, maintain records, and follow data privacy/confidentiality protocols. Collaborate with internal teams to improve…",2026-09-04T07:37:02Z,https://www.adzuna.in/details/5869817803?utm_medium=api&utm_source=48e85034,"consult an expert key responsibilities: offer accurate, timely, and professional advice or consultations in your area of expertise. respond to queries via chat, email, video call, or phone as per platform requirements. assist users in understanding complex issues or solving specific problems. maintain up-to-date knowledge in your field to ensure credible and current consultation. document interactions, maintain records, and follow data privacy/confidentiality protocols. collaborate with internal teams to improve…",[],0
Field Sales Executive,Sisco Jobs,"Tondiarpet Fort St George, Chennai",Sales Jobs,,,permanent,"We are Sisco Jobs, a recruitment consultancy based in Trichy, Tamil Nadu. We are hiring on behalf of our client for the position of Field Sales Executive in Chennai, Tamil Nadu . Our client, Ravilla Homes, is seeking skilled and motivated professionals who can effectively handle customers, conduct land/site visits, follow up with prospects, and support successful client closures. Freshers as well as experienced candidates with up to 5 years of experience can be considered. Key Responsibilities …",2026-08-26T08:58:28Z,https://www.adzuna.in/details/5856317476?utm_medium=api&utm_source=48e85034,"field sales executive we are sisco jobs, a recruitment consultancy based in trichy, tamil nadu. we are hiring on behalf of our client for the position of field sales executive in chennai, tamil nadu . our client, ravilla homes, is seeking skilled and motivated professionals who can effectively handle customers, conduct land/site visits, follow up with prospects, and support successful client closures. freshers as well as experienced candidates with up to 5 years of experience can be considered. key responsibilities …","['Sales', 'Recruiting']",2
Technology Support Specialist (Selenium Automation),Wroots Global Private Limited,"Chennai, Tamil Nadu",IT Jobs,,,,"JD: Selenium Automation: An automation engineer with 3 Years of experience in Selenium Automation in automating web applications testing, ensuring functional reliability and scalability Location: Chennai Job Description: Develop test automation scripts using Selenium WebDriver with Java Create and maintain frameworks such as Hybrid, Data-driven, or BDD (TestNG/JUnit/Cucumber) Execute functional, regression, and smoke testing Handle web elements, waits, alerts, frames, and windows Perform cross-…",2026-07-25T07:28:23Z,https://www.adzuna.in/details/5814826025?utm_medium=api&utm_source=48e85034,"technology support specialist (selenium automation) jd: selenium automation: an automation engineer with 3 years of experience in selenium automation in automating web applications testing, ensuring functional reliability and scalability location: chennai job description: develop test automation scripts using selenium webdriver with java create and maintain frameworks such as hybrid, data-driven, or bdd (testng/junit/cucumber) execute functional, regression, and smoke testing handle web elements, waits, alerts, frames, and windows perform cross-…",['Java'],1
Associate - Third Party Security Risk Management,Cognizant,"Coimbatore, Tamil Nadu",IT Jobs,,,,"About Cognizant Corporate Cognizant Corporate is a global community united by a shared purpose: to make a meaningful impact. We are committed to excellence and driven by outcomes that matter. Collaboration is at the heart of how we work, and our forward-thinking mindset fuels continuous learning, innovation, and growth. At Cognizant, careers transcend titles. We empower our people to think strategically, inspire others, and lead with purpose, always guided by our core values. Join us in shaping…",2026-08-28T16:06:04Z,https://www.adzuna.in/details/5859583339?utm_medium=api&utm_source=48e85034,"associate - third party security risk management about cognizant corporate cognizant corporate is a global community united by a shared purpose: to make a meaningful impact. we are committed to excellence and driven by outcomes that matter. collaboration is at the heart of how we work, and our forward-thinking mindset fuels continuous learning, innovation, and growth. at cognizant, careers transcend titles. we empower our people to think strategically, inspire others, and lead with purpose, always guided by our core values. join us in shaping…",[],0
Senior Java Engineer- Core Backend & Algorithms,TekClan,"Chennai, Tamil Nadu",IT Jobs,1200000.0,2200000.0,,"We are looking for a    who is passionate about   ,  -,   -  at scale. This role is  about basic API development or framework-heavy work. You will be part of the   , working close to the heart of the product where , ,    .  ’  ▪️ Design and build -   that operate reliably under heavy load ▪️Develop and implement   for complex, real-world business problems ▪️Identify and resolve , , /,    ▪️Build backend services where , ,   are critical ▪️Own  &    end-to-end, including: Composition Rendering O…",2026-02-18T11:45:57Z,https://www.adzuna.in/details/5634174375?utm_medium=api&utm_source=48e85034,"senior java engineer- core backend & algorithms we are looking for a    who is passionate about   ,  -,   -  at scale. this role is  about basic api development or framework-heavy work. you will be part of the   , working close to the heart of the product where , ,    .  ’  ▪️ design and build -   that operate reliably under heavy load ▪️develop and implement   for complex, real-world business problems ▪️identify and resolve , , /,    ▪️build backend services where , ,   are critical ▪️own  &    end-to-end, including: composition rendering o…",['Java'],1
Network Engineer III,CBTS,"Chennai, Tamil Nadu",IT Jobs,,,,"Network Engineer III — LAN & SD-WAN Shift: Rotational 24x7 ABOUT CBTS CBTS is a leading technology services company delivering innovative IT solutions to mid-market and enterprise clients across North America. With a portfolio spanning managed services, cloud, networking, security, and professional services, CBTS partners with over 3,000 clients to solve their most complex technology challenges. Our team thrives on accountability, collaboration, and a relentless commitment to client success. PO…",2026-09-01T16:19:52Z,https://www.adzuna.in/land/ad/5864422198?se=sFm48ROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=E7D1545DDF5073FF4F7BBBD54AA64AE8D4302D12,"network engineer iii network engineer iii — lan & sd-wan shift: rotational 24x7 about cbts cbts is a leading technology services company delivering innovative it solutions to mid-market and enterprise clients across north america. with a portfolio spanning managed services, cloud, networking, security, and professional services, cbts partners with over 3,000 clients to solve their most complex technology challenges. our team thrives on accountability, collaboration, and a relentless commitment to client success. po…",[],0
Master Frontier Engineer,Cognizant,"Chennai, Tamil Nadu",IT Jobs,,,,"ABOUT THE ROLE The hands-on builder of the AI-augmented enterprise, operating in a 1 to 3 person Frontier pod. Applies agentic AI, prompt engineering and AI-driven delivery to build, ship and operate AI-native systems end to end, spanning software, infrastructure, data, quality and operations. Specifies intent for AI coding agents, validates and integrates their output, orchestrates agent pipelines, and stands behind what the pod builds in production. A full-stack generalist who reaches for an …",2026-08-02T10:55:14Z,https://www.adzuna.in/details/5825361514?utm_medium=api&utm_source=48e85034,"master frontier engineer about the role the hands-on builder of the ai-augmented enterprise, operating in a 1 to 3 person frontier pod. applies agentic ai, prompt engineering and ai-driven delivery to build, ship and operate ai-native systems end to end, spanning software, infrastructure, data, quality and operations. specifies intent for ai coding agents, validates and integrates their output, orchestrates agent pipelines, and stands behind what the pod builds in production. a full-stack generalist who reaches for an …",[],0
International Voice,Livec Staffing Services Private Limited,"Chennai, Tamil Nadu",IT Jobs,,,,"Expertise Fresher/Experienced. C2 Level Communication is mandatory. Responsibilities Typical Customer Support role. Addressing the queries and grievances of Customers within the stipulated timeline Languages Excellent English, C2 Quality Minimum Qualification Graduation Mandatory Skills: Data Entry, Customer Support, Call Routing, crm software Experience: 0.00-3.00 Years",2026-08-07T07:33:35Z,https://www.adzuna.in/details/5831403532?utm_medium=api&utm_source=48e85034,"international voice expertise fresher/experienced. c2 level communication is mandatory. responsibilities typical customer support role. addressing the queries and grievances of customers within the stipulated timeline languages excellent english, c2 quality minimum qualification graduation mandatory skills: data entry, customer support, call routing, crm software experience: 0.00-3.00 years","['CRM Software', 'Customer Service']",2
Adobe Campaign Developer,Thinqor,"Chennai, Tamil Nadu",IT Jobs,100000.0,1900000.0,,"We are looking for experienced professionals with strong expertise in Adobe Experience Platform / Adobe Campaign to join our team for AMEX Chennai. The ideal candidate should have overall 7 years of IT experience with at least 2 years of hands-on Adobe implementation experience. Key Responsibilities Design, develop, and implement solutions using Adobe Experience Platform / Adobe Campaign. Build and manage campaigns, journeys, workflows, and audience segmentation. Integrate Adobe solutions with …",2026-02-28T11:15:13Z,https://www.adzuna.in/details/5648257762?utm_medium=api&utm_source=48e85034,"adobe campaign developer we are looking for experienced professionals with strong expertise in adobe experience platform / adobe campaign to join our team for amex chennai. the ideal candidate should have overall 7 years of it experience with at least 2 years of hands-on adobe implementation experience. key responsibilities design, develop, and implement solutions using adobe experience platform / adobe campaign. build and manage campaigns, journeys, workflows, and audience segmentation. integrate adobe solutions with …",[],0
Senior Workday Functional Configurator,UPS,"Chennai, Tamil Nadu",IT Jobs,,,,"Avant de postuler à un emploi, sélectionnez votre langue de préférence parmi les options disponibles en haut à droite de cette page. Découvrez votre prochaine opportunité au sein d'une organisation qui compte parmi les 500 plus importantes entreprises mondiales. Envisagez des opportunités innovantes, découvrez notre culture enrichissante et travaillez avec des équipes talentueuses qui vous poussent à vous développer chaque jour. Nous savons ce qu'il faut faire pour diriger UPS vers l'avenir : d…",2026-07-25T10:49:25Z,https://www.adzuna.in/details/5814997353?utm_medium=api&utm_source=48e85034,"senior workday functional configurator avant de postuler à un emploi, sélectionnez votre langue de préférence parmi les options disponibles en haut à droite de cette page. découvrez votre prochaine opportunité au sein d'une organisation qui compte parmi les 500 plus importantes entreprises mondiales. envisagez des opportunités innovantes, découvrez notre culture enrichissante et travaillez avec des équipes talentueuses qui vous poussent à vous développer chaque jour. nous savons ce qu'il faut faire pour diriger ups vers l'avenir : d…",[],0
MARKETING EXECUTIVE - DRT,GEM Hospital,"Chennai, Tamil Nadu",Healthcare & Nursing Jobs,,,,"Key Responsibilities Develop and maintain strong professional relationships with referring doctors, clinics, hospitals, and healthcare professionals. Promote the hospital’s medical services, specialties, consultants, and facilities to doctors and healthcare providers. Regularly visit clinics, hospitals, and medical centres within the assigned territory. Coordinate with consultants and internal departments to ensure smooth referral management. Maintain an updated database of referring doctors an…",2026-08-28T07:14:51Z,https://www.adzuna.in/details/5859082748?utm_medium=api&utm_source=48e85034,"marketing executive - drt key responsibilities develop and maintain strong professional relationships with referring doctors, clinics, hospitals, and healthcare professionals. promote the hospital’s medical services, specialties, consultants, and facilities to doctors and healthcare providers. regularly visit clinics, hospitals, and medical centres within the assigned territory. coordinate with consultants and internal departments to ensure smooth referral management. maintain an updated database of referring doctors an…",[],0
